x,a,b
0,0.463933,0.5429
0.0300752,0.454979,0.543943
0.0601504,0.446627,0.546782
0.0902256,0.438838,0.551023
0.120301,0.431577,0.556326
0.150376,0.424807,0.562398
0.180451,0.418497,0.568987
0.210526,0.412615,0.575883
0.240602,0.407134,0.582905
0.270677,0.402025,0.589907
0.300752,0.397263,0.596769
0.330827,0.392824,0.603392
0.360902,0.388687,0.609701
0.390977,0.384829,0.61564
0.421053,0.381232,0.621167
0.451128,0.377877,0.626255
0.481203,0.374747,0.630888
0.511278,0.371828,0.635061
0.541353,0.369104,0.638777
0.571429,0.366561,0.642047
0.601504,0.364188,0.644887
0.631579,0.361973,0.647318
0.661654,0.359905,0.649363
0.691729,0.357974,0.651051
0.721805,0.356173,0.652409
0.75188,0.354492,0.653468
0.781955,0.352924,0.654258
0.81203,0.351463,0.65481
0.842105,0.350102,0.655155
0.87218,0.348837,0.655321
0.902256,0.347661,0.655336
0.932331,0.34657,0.655228
0.962406,0.345561,0.655022
0.992481,0.344629,0.654741
1.02256,0.343772,0.654407
1.05263,0.342987,0.654039
1.08271,0.342271,0.653655
1.11278,0.341622,0.65327
1.14286,0.341038,0.652899
1.17293,0.340518,0.652552
1.20301,0.34006,0.652239
1.23308,0.339663,0.651967
1.26316,0.339325,0.651744
1.29323,0.339046,0.651572
1.32331,0.338826,0.651454
1.35338,0.338663,0.651392
1.38346,0.338557,0.651384
1.41353,0.338508,0.65143
1.44361,0.338515,0.651526
1.47368,0.338578,0.651668
1.50376,0.338697,0.651852
1.53383,0.338872,0.652071
1.56391,0.339102,0.65232
1.59398,0.339388,0.652591
1.62406,0.339729,0.652877
1.65414,0.340125,0.653171
1.68421,0.340576,0.653463
1.71429,0.341082,0.653747
1.74436,0.341643,0.654013
1.77444,0.342259,0.654253
1.80451,0.342929,0.65446
1.83459,0.343653,0.654624
1.86466,0.344432,0.654738
1.89474,0.345265,0.654795
1.92481,0.34615,0.654788
1.95489,0.34709,0.654708
1.98496,0.348082,0.654551
2.01504,0.349126,0.65431
2.04511,0.350222,0.65398
2.07519,0.35137,0.653556
2.10526,0.352569,0.653033
2.13534,0.353818,0.652408
2.16541,0.355116,0.651677
2.19549,0.356464,0.650838
2.22556,0.35786,0.649889
2.25564,0.359304,0.648829
2.28571,0.360794,0.647656
2.31579,0.362331,0.646369
2.34586,0.363913,0.644971
2.37594,0.365539,0.64346
2.40602,0.367209,0.641839
2.43609,0.368921,0.640109
2.46617,0.370675,0.638272
