x,a,b
0,0,1
0.0300752,0.055744,0.944256
0.0601504,0.111312,0.888688
0.0902256,0.166282,0.833718
0.120301,0.220295,0.779705
0.150376,0.273049,0.726951
0.180451,0.324291,0.675709
0.210526,0.373814,0.626186
0.240602,0.421455,0.578545
0.270677,0.467083,0.532917
0.300752,0.510605,0.489395
0.330827,0.551953,0.448047
0.360902,0.591088,0.408912
0.390977,0.627992,0.372008
0.421053,0.662668,0.337332
0.451128,0.695135,0.304865
0.481203,0.725428,0.274572
0.511278,0.753594,0.246406
0.541353,0.779692,0.220308
0.571429,0.803787,0.196213
0.601504,0.825955,0.174045
0.631579,0.846275,0.153725
0.661654,0.864832,0.135168
0.691729,0.881713,0.118287
0.721805,0.897008,0.102992
0.75188,0.910807,0.0891926
0.781955,0.923203,0.0767966
0.81203,0.934287,0.0657133
0.842105,0.944147,0.0558528
0.87218,0.952873,0.0471268
0.902256,0.960551,0.0394488
0.932331,0.967265,0.032735
0.962406,0.973095,0.0269045
0.992481,0.978121,0.0218793
1.02256,0.982415,0.0175847
1.05263,0.98605,0.0139498
1.08271,0.989093,0.0109069
1.11278,0.991608,0.00839237
1.14286,0.993654,0.00634622
1.17293,0.995288,0.00471226
1.20301,0.996562,0.00343811
1.23308,0.997525,0.00247513
1.26316,0.998222,0.00177837
1.29323,0.998693,0.00130652
1.32331,0.998978,0.00102178
1.35338,0.99911,0.000889762
1.38346,0.999121,0.000879386
1.41353,0.999037,0.000962721
1.44361,0.998885,0.00111486
1.47368,0.998686,0.00131378
1.50376,0.99846,0.00154018
1.53383,0.998223,0.00177731
1.56391,0.997989,0.00201085
1.59398,0.997771,0.00222873
1.62406,0.997579,0.00242098
1.65414,0.99742,0.00257956
1.68421,0.997302,0.00269823
1.71429,0.997228,0.00277237
1.74436,0.997201,0.00279886
1.77444,0.997224,0.00277592
1.80451,0.997297,0.00270296
1.83459,0.99742,0.00258047
1.86466,0.99759,0.00240989
1.89474,0.997807,0.00219348
1.92481,0.998066,0.00193417
1.95489,0.998364,0.00163551
1.98496,0.998698,0.00130153
2.01504,0.999063,0.00093666
2.04511,0.999454,0.0005456
2.07519,0.999867,0.000133282
2.10526,1.0003,-0.000295235
2.13534,1.00073,-0.000734831
2.16541,1.00118,-0.00118039
2.19549,1.00163,-0.00162687
2.22556,1.00207,-0.00206933
2.25564,1.0025,-0.00250302
2.28571,1.00292,-0.00292339
2.31579,1.00333,-0.00332614
2.34586,1.00371,-0.00370724
2.37594,1.00406,-0.00406299
2.40602,1.00439,-0.00439
2.43609,1.00469,-0.00468524
2.46617,1.00495,-0.00494604
2.49624,1.00517,-0.00517009
2.52632,1.00536,-0.00535547
2.55639,1.0055,-0.00550064
2.58647,1.0056,-0.00560442
2.61654,1.00567,-0.00566602
2.64662,1.00569,-0.00568501
2.67669,1.00566,-0.00566133
2.70677,1.0056,-0.00559524
2.73684,1.00549,-0.00548736
2.76692,1.00534,-0.00533861
2.79699,1.00515,-0.00515022
2.82707,1.00492,-0.00492369
2.85714,1.00466,-0.00466078
2.88722,1.00436,-0.00436351
2.91729,1.00403,-0.00403408
2.94737,1.00367,-0.00367494
2.97744,1.00329,-0.00328866
3.00752,1.00288,-0.002878
3.03759,1.00245,-0.00244582
3.06767,1.002,-0.00199511
3.09774,1.00153,-0.00152893
3.12782,1.00105,-0.00105039
3.15789,1.00056,-0.000562656
3.18797,1.00007,-6.89037e-05
3.21805,0.999572,0.000427698
3.24812,0.999076,0.000924004
3.2782,0.998583,0.00141691
3.30827,0.998097,0.00190338
3.33835,0.99762,0.00238045
3.36842,0.997155,0.00284526
3.3985,0.996705,0.00329504
3.42857,0.996273,0.00372718
3.45865,0.995861,0.00413918
3.48872,0.995471,0.0045287
3.5188,0.995106,0.00489357
3.54887,0.994768,0.00523176
3.57895,0.994459,0.00554146
3.60902,0.994179,0.00582101
3.6391,0.993931,0.00606896
3.66917,0.993716,0.00628405
3.69925,0.993535,0.00646522
3.72932,0.993388,0.00661162
3.7594,0.993277,0.00672258
3.78947,0.993202,0.00679765
3.81955,0.993163,0.00683659
3.84962,0.993161,0.00683933
3.8797,0.993194,0.00680603
3.90977,0.993263,0.00673701
3.93985,0.993367,0.0066328
3.96992,0.993506,0.00649411
4,0.993678,0.00632182
4.03008,0.993883,0.00611697
4.06015,0.994119,0.00588077
4.09023,0.994385,0.00561457
4.1203,0.99468,0.00531989
4.15038,0.995002,0.00499835
4.18045,0.995348,0.0046517
4.21053,0.995718,0.00428182
4.2406,0.996109,0.00389066
4.27068,0.99652,0.00348029
4.30075,0.996947,0.00305284
4.33083,0.997389,0.0026105
4.3609,0.997844,0.00215555
4.39098,0.99831,0.00169026
4.42105,0.998783,0.00121697
4.45113,0.999262,0.000738043
4.4812,0.999744,0.000255821
4.51128,1.00023,-0.000227337
4.54135,1.00071,-0.00070909
4.57143,1.00119,-0.00118712
4.6015,1.00166,-0.00165916
4.63158,1.00212,-0.00212296
4.66165,1.00258,-0.00257636
4.69173,1.00302,-0.00301724
4.7218,1.00344,-0.00344357
4.75188,1.00385,-0.0038534
4.78195,1.00424,-0.00424486
4.81203,1.00462,-0.00461619
4.84211,1.00497,-0.00496575
4.87218,1.00529,-0.00529198
4.90226,1.00559,-0.00559347
4.93233,1.00587,-0.00586892
4.96241,1.00612,-0.00611716
4.99248,1.00634,-0.00633714
5.02256,1.00653,-0.00652798
5.05263,1.00669,-0.0066889
5.08271,1.00682,-0.00681929
5.11278,1.00692,-0.00691867
5.14286,1.00699,-0.00698671
5.17293,1.00702,-0.0070232
5.20301,1.00703,-0.00702812
5.23308,1.007,-0.00700155
5.26316,1.00694,-0.00694372
5.29323,1.00686,-0.00685502
5.32331,1.00674,-0.00673595
5.35338,1.00659,-0.00658716
5.38346,1.00641,-0.00640942
5.41353,1.0062,-0.00620363
5.44361,1.00597,-0.0059708
5.47368,1.00571,-0.00571206
5.50376,1.00543,-0.00542866
5.53383,1.00512,-0.00512193
5.56391,1.00479,-0.00479332
5.59398,1.00444,-0.00444434
5.62406,1.00408,-0.00407661
5.65414,1.00369,-0.00369181
5.68421,1.00329,-0.0032917
5.71429,1.00288,-0.00287808
5.74436,1.00245,-0.0024528
5.77444,1.00202,-0.00201778
5.80451,1.00157,-0.00157496
5.83459,1.00113,-0.00112628
5.86466,1.00067,-0.000673734
5.89474,1.00022,-0.000219308
5.92481,0.999765,0.000235011
5.95489,0.999313,0.000687243
5.98496,0.998865,0.00113543
6.01504,0.998422,0.00157762
6.04511,0.997988,0.00201193
6.07519,0.997564,0.00243647
6.10526,0.997151,0.00284945
6.13534,0.996751,0.0032491
6.16541,0.996366,0.00363373
6.19549,0.995998,0.00400171
6.22556,0.995649,0.00435149
6.25564,0.995318,0.00468162
6.28571,0.995009,0.00499071
6.31579,0.994723,0.00527748
6.34586,0.994459,0.00554076
6.37594,0.994221,0.00577946
6.40602,0.994007,0.00599263
6.43609,0.993821,0.0061794
6.46617,0.993661,0.00633904
6.49624,0.993529,0.00647093
6.52632,0.993425,0.00657456
6.55639,0.99335,0.00664956
6.58647,0.993304,0.00669567
6.61654,0.993287,0.00671277
6.64662,0.993299,0.00670085
6.67669,0.99334,0.00666004
6.70677,0.993409,0.00659058
6.73684,0.993507,0.00649284
6.76692,0.993633,0.0063673
6.79699,0.993785,0.00621459
6.82707,0.993965,0.00603542
6.85714,0.994169,0.00583063
6.88722,0.994399,0.00560116
6.91729,0.994652,0.00534808
6.94737,0.994927,0.00507254
6.97744,0.995224,0.00477578
7.00752,0.995541,0.00445914
7.03759,0.995876,0.00412405
7.06767,0.996228,0.00377201
7.09774,0.996595,0.0034046
7.12782,0.996977,0.00302346
7.15789,0.99737,0.00263028
7.18797,0.997773,0.00222682
7.21805,0.998185,0.00181487
7.24812,0.998604,0.00139627
7.2782,0.999027,0.00097286
7.30827,0.999453,0.000546534
7.33835,0.999881,0.000119179
7.36842,1.00031,-0.000307309
7.3985,1.00073,-0.000731039
7.42857,1.00115,-0.00115013
7.45865,1.00156,-0.00156273
7.48872,1.00197,-0.001967
7.5188,1.00236,-0.00236115
7.54887,1.00274,-0.00274342
7.57895,1.00311,-0.00311213
7.60902,1.00347,-0.00346564
7.6391,1.0038,-0.00380237
7.66917,1.00412,-0.00412082
7.69925,1.00442,-0.00441959
7.72932,1.0047,-0.00469733
7.7594,1.00495,-0.00495283
7.78947,1.00518,-0.00518493
7.81955,1.00539,-0.00539262
7.84962,1.00557,-0.00557496
7.8797,1.00573,-0.00573114
7.90977,1.00586,-0.00586049
7.93985,1.00596,-0.00596243
7.96992,1.00604,-0.00603651
8,1.00608,-0.00608243
8.03008,1.0061,-0.00609998
8.06015,1.00609,-0.00608912
8.09023,1.00605,-0.00604992
8.1203,1.00598,-0.00598258
8.15038,1.00589,-0.00588745
8.18045,1.00576,-0.00576499
8.21053,1.00562,-0.0056158
8.2406,1.00544,-0.00544061
8.27068,1.00524,-0.00524025
8.30075,1.00502,-0.00501572
8.33083,1.00477,-0.00476808
8.3609,1.0045,-0.00449854
8.39098,1.00421,-0.00420842
8.42105,1.0039,-0.00389912
8.45113,1.00357,-0.00357216
8.4812,1.00323,-0.00322912
8.51128,1.00287,-0.0028717
8.54135,1.0025,-0.00250166
8.57143,1.00212,-0.00212081
8.6015,1.00173,-0.00173105
8.63158,1.00133,-0.00133431
8.66165,1.00093,-0.000932576
8.69173,1.00053,-0.000527856
8.7218,1.00012,-0.000122188
8.75188,0.999718,0.000282379
8.78195,0.999316,0.000683793
8.81203,0.99892,0.00108001
8.84211,0.998531,0.00146899
8.87218,0.998151,0.00184874
8.90226,0.997783,0.00221729
8.93233,0.997427,0.00257273
8.96241,0.997087,0.0029132
8.99248,0.996763,0.0032369
9.02256,0.996458,0.00354212
9.05263,0.996173,0.00382723
9.08271,0.995909,0.00409071
9.11278,0.995669,0.00433112
9.14286,0.995453,0.00454717
9.17293,0.995262,0.00473766
9.20301,0.995098,0.00490154
9.23308,0.994962,0.00503788
9.26316,0.994854,0.00514592
9.29323,0.994775,0.00522503
9.32331,0.994725,0.00527473
9.35338,0.994705,0.00529471
9.38346,0.994715,0.00528484
9.41353,0.994755,0.00524512
9.44361,0.994824,0.00517575
9.47368,0.994923,0.00507708
9.50376,0.99505,0.00494964
9.53383,0.995206,0.00479413
9.56391,0.995389,0.00461142
9.59398,0.995597,0.00440253
9.62406,0.995831,0.00416867
9.65414,0.996089,0.00391117
9.68421,0.996368,0.00363155
9.71429,0.996669,0.00333146
9.74436,0.996987,0.00301269
9.77444,0.997323,0.00267714
9.80451,0.997673,0.00232688
9.83459,0.998036,0.00196404
9.86466,0.998409,0.00159087
9.89474,0.99879,0.00120971
9.92481,0.999177,0.000822981
9.95489,0.999567,0.000433145
9.98496,0.999957,4.27239e-05
10.015,1.00035,-0.000345734
10.0451,1.00073,-0.000729664
10.0752,1.00111,-0.0011065
10.1053,1.00147,-0.0014737
10.1353,1.00183,-0.00182876
10.1654,1.00217,-0.00216921
10.1955,1.00249,-0.00249266
10.2256,1.0028,-0.00279682
10.2556,1.00308,-0.00307949
10.2857,1.00334,-0.0033386
10.3158,1.00357,-0.00357222
10.3459,1.00378,-0.00377857
10.3759,1.00396,-0.00395605
10.406,1.0041,-0.00410325
10.4361,1.00422,-0.00421896
10.4662,1.0043,-0.00430219
10.4962,1.00435,-0.00435218
10.5263,1.00437,-0.00436842
10.5564,1.00435,-0.00435064
10.5865,1.0043,-0.00429883
10.6165,1.00421,-0.00421327
10.6466,1.00409,-0.00409449
10.6767,1.00394,-0.00394331
10.7068,1.00376,-0.00376082
10.7368,1.00355,-0.0035484
10.7669,1.00331,-0.00330768
10.797,1.00304,-0.00304058
10.8271,1.00275,-0.00274927
10.8571,1.00244,-0.00243618
10.8872,1.0021,-0.00210394
10.9173,1.00176,-0.00175545
10.9474,1.00139,-0.00139376
10.9774,1.00102,-0.00102213
11.0075,1.00064,-0.00064395
11.0376,1.00026,-0.000262745
11.0677,0.999882,0.000117871
11.0977,0.999506,0.000494224
11.1278,0.999137,0.000862615
11.1579,0.998781,0.00121936
11.188,0.998439,0.00156083
11.218,0.998117,0.00188349
11.2481,0.997816,0.00218395
11.2782,0.997541,0.002459
11.3083,0.997294,0.00270565
11.3383,0.997079,0.00292122
11.3684,0.996897,0.00310331
11.3985,0.99675,0.00324991
11.4286,0.996641,0.00335941
11.4586,0.996569,0.00343068
11.4887,0.996537,0.00346302
11.5188,0.996544,0.00345631
11.5489,0.996589,0.00341094
