x,a,b
0,0,1
0.0300752,0.00438189,0.995618
0.0601504,0.00876365,0.991236
0.0902256,0.0131452,0.986855
0.120301,0.0175263,0.982474
0.150376,0.0219068,0.978093
0.180451,0.0262867,0.973713
0.210526,0.0306659,0.969334
0.240602,0.0350441,0.964956
0.270677,0.0394212,0.960579
0.300752,0.0437972,0.956203
0.330827,0.0481718,0.951828
0.360902,0.0525451,0.947455
0.390977,0.0569167,0.943083
0.421053,0.0612866,0.938713
0.451128,0.0656547,0.934345
0.481203,0.0700208,0.929979
0.511278,0.0743848,0.925615
0.541353,0.0787466,0.921253
0.571429,0.083106,0.916894
0.601504,0.0874629,0.912537
0.631579,0.0918173,0.908183
0.661654,0.0961688,0.903831
0.691729,0.100518,0.899482
0.721805,0.104863,0.895137
0.75188,0.109206,0.890794
0.781955,0.113545,0.886455
0.81203,0.117881,0.882119
0.842105,0.122213,0.877787
0.87218,0.126542,0.873458
0.902256,0.130867,0.869133
0.932331,0.135188,0.864812
0.962406,0.139505,0.860495
0.992481,0.143818,0.856182
1.02256,0.148127,0.851873
1.05263,0.152431,0.847569
1.08271,0.15673,0.84327
1.11278,0.161025,0.838975
1.14286,0.165316,0.834684
1.17293,0.169601,0.830399
1.20301,0.173881,0.826119
1.23308,0.178157,0.821843
1.26316,0.182427,0.817573
1.29323,0.186691,0.813309
1.32331,0.19095,0.80905
1.35338,0.195204,0.804796
1.38346,0.199451,0.800549
1.41353,0.203693,0.796307
1.44361,0.207929,0.792071
1.47368,0.212159,0.787841
1.50376,0.216382,0.783618
1.53383,0.220599,0.779401
1.56391,0.22481,0.77519
1.59398,0.229014,0.770986
1.62406,0.233211,0.766789
1.65414,0.237402,0.762598
1.68421,0.241586,0.758414
1.71429,0.245762,0.754238
1.74436,0.249932,0.750068
1.77444,0.254094,0.745906
1.80451,0.258249,0.741751
1.83459,0.262396,0.737604
1.86466,0.266536,0.733464
1.89474,0.270668,0.729332
1.92481,0.274793,0.725207
1.95489,0.278909,0.721091
1.98496,0.283017,0.716983
2.01504,0.287118,0.712882
2.04511,0.29121,0.70879
2.07519,0.295293,0.704707
2.10526,0.299368,0.700632
2.13534,0.303435,0.696565
2.16541,0.307493,0.692507
2.19549,0.311542,0.688458
2.22556,0.315583,0.684417
2.25564,0.319614,0.680386
2.28571,0.323636,0.676364
2.31579,0.327649,0.672351
2.34586,0.331653,0.668347
2.37594,0.335648,0.664352
2.40602,0.339633,0.660367
2.43609,0.343608,0.656392
2.46617,0.347574,0.652426
2.49624,0.35153,0.64847
2.52632,0.355476,0.644524
2.55639,0.359413,0.640587
2.58647,0.363339,0.636661
2.61654,0.367255,0.632745
2.64662,0.371161,0.628839
2.67669,0.375057,0.624943
2.70677,0.378942,0.621058
2.73684,0.382817,0.617183
2.76692,0.386681,0.613319
2.79699,0.390535,0.609465
2.82707,0.394378,0.605622
2.85714,0.39821,0.60179
2.88722,0.402031,0.597969
2.91729,0.405841,0.594159
2.94737,0.40964,0.59036
2.97744,0.413428,0.586572
3.00752,0.417205,0.582795
3.03759,0.420971,0.579029
3.06767,0.424725,0.575275
3.09774,0.428467,0.571533
3.12782,0.432198,0.567802
3.15789,0.435918,0.564082
3.18797,0.439626,0.560374
3.21805,0.443322,0.556678
3.24812,0.447006,0.552994
3.2782,0.450678,0.549322
3.30827,0.454339,0.545661
3.33835,0.457987,0.542013
3.36842,0.461623,0.538377
3.3985,0.465247,0.534753
3.42857,0.468859,0.531141
3.45865,0.472458,0.527542
3.48872,0.476046,0.523954
3.5188,0.47962,0.52038
3.54887,0.483183,0.516817
3.57895,0.486732,0.513268
3.60902,0.490269,0.509731
3.6391,0.493794,0.506206
3.66917,0.497305,0.502695
3.69925,0.500804,0.499196
3.72932,0.50429,0.49571
3.7594,0.507763,0.492237
3.78947,0.511224,0.488776
3.81955,0.514671,0.485329
3.84962,0.518105,0.481895
3.8797,0.521526,0.478474
3.90977,0.524934,0.475066
3.93985,0.528328,0.471672
3.96992,0.53171,0.46829
4,0.535078,0.464922
4.03008,0.538433,0.461567
4.06015,0.541774,0.458226
4.09023,0.545102,0.454898
4.1203,0.548416,0.451584
4.15038,0.551717,0.448283
4.18045,0.555005,0.444995
4.21053,0.558279,0.441721
4.2406,0.561539,0.438461
4.27068,0.564785,0.435215
4.30075,0.568018,0.431982
4.33083,0.571237,0.428763
4.3609,0.574442,0.425558
4.39098,0.577634,0.422366
4.42105,0.580811,0.419189
4.45113,0.583975,0.416025
4.4812,0.587125,0.412875
4.51128,0.590261,0.409739
4.54135,0.593383,0.406617
4.57143,0.596491,0.403509
4.6015,0.599584,0.400416
4.63158,0.602664,0.397336
4.66165,0.60573,0.39427
4.69173,0.608782,0.391218
4.7218,0.611819,0.388181
4.75188,0.614843,0.385157
4.78195,0.617852,0.382148
4.81203,0.620847,0.379153
4.84211,0.623828,0.376172
4.87218,0.626795,0.373205
4.90226,0.629748,0.370252
4.93233,0.632686,0.367314
4.96241,0.63561,0.36439
4.99248,0.63852,0.36148
5.02256,0.641415,0.358585
5.05263,0.644297,0.355703
5.08271,0.647164,0.352836
5.11278,0.650016,0.349984
5.14286,0.652855,0.347145
5.17293,0.655679,0.344321
5.20301,0.658488,0.341512
5.23308,0.661284,0.338716
5.26316,0.664065,0.335935
5.29323,0.666831,0.333169
5.32331,0.669584,0.330416
5.35338,0.672322,0.327678
5.38346,0.675046,0.324954
5.41353,0.677755,0.322245
5.44361,0.68045,0.31955
5.47368,0.683131,0.316869
5.50376,0.685797,0.314203
5.53383,0.688449,0.311551
5.56391,0.691087,0.308913
5.59398,0.69371,0.30629
5.62406,0.696319,0.303681
5.65414,0.698914,0.301086
5.68421,0.701495,0.298505
5.71429,0.704061,0.295939
5.74436,0.706613,0.293387
5.77444,0.709151,0.290849
5.80451,0.711674,0.288326
5.83459,0.714184,0.285816
5.86466,0.716679,0.283321
5.89474,0.71916,0.28084
