t,E_dc,I,C_l,C_r
0,-10,0.0749156,0,0.00438261
0.08,-9.92,0.00582751,0.0041384,0.00474665
0.16,-9.84,0.00472522,0.00467795,0.00514084
0.24,-9.76,0.00442632,0.0051224,0.00556766
0.32,-9.68,0.00440338,0.00558103,0.00602979
0.4,-9.6,0.00450645,0.00607001,0.00653015
0.48,-9.52,0.00468555,0.00659413,0.00707185
0.56,-9.44,0.00492122,0.00715736,0.0076583
0.64,-9.36,0.00520488,0.0077639,0.00829315
0.72,-9.28,0.00553255,0.00841808,0.00898037
0.8,-9.2,0.0059027,0.00912441,0.00972421
0.88,-9.12,0.0063152,0.00988755,0.0105293
0.96,-9.04,0.00677096,0.0107124,0.0114006
1.04,-8.96,0.00727158,0.0116043,0.0123435
1.12,-8.88,0.00781927,0.0125687,0.0133638
1.2,-8.8,0.00841672,0.0136116,0.0144678
1.28,-8.72,0.00906704,0.0147394,0.0156621
1.36,-8.64,0.00977376,0.015959,0.0169541
1.44,-8.56,0.0105408,0.0172778,0.0183515
1.52,-8.48,0.0113724,0.0187037,0.0198628
1.6,-8.4,0.0122734,0.0202454,0.0214971
1.68,-8.32,0.0132487,0.021912,0.023264
1.76,-8.24,0.0143038,0.0237133,0.0251741
1.84,-8.16,0.0154446,0.0256601,0.0272385
1.92,-8.08,0.0166775,0.0277636,0.0294694
2,-8,0.0180092,0.030036,0.0318797
2.08,-7.92,0.0194469,0.0324904,0.0344832
2.16,-7.84,0.0209983,0.0351407,0.0372948
2.24,-7.76,0.0226716,0.038002,0.0403303
2.32,-7.68,0.0244755,0.04109,0.0436067
2.4,-7.6,0.0264191,0.044422,0.0471419
2.48,-7.52,0.0285123,0.0480159,0.0509554
2.56,-7.44,0.0307653,0.051891,0.0550675
2.64,-7.36,0.0331888,0.0560679,0.0594999
2.72,-7.28,0.035794,0.0605681,0.0642758
2.8,-7.2,0.0385929,0.0654147,0.0694194
2.88,-7.12,0.0415976,0.0706319,0.0749567
2.96,-7.04,0.0448208,0.0762452,0.0809146
3.04,-6.96,0.0482757,0.0822815,0.0873217
3.12,-6.88,0.0519756,0.0887689,0.0942079
3.2,-6.8,0.0559344,0.0957368,0.101604
3.28,-6.72,0.0601658,0.103216,0.109544
3.36,-6.64,0.0646838,0.111238,0.11806
3.44,-6.56,0.0695024,0.119835,0.127187
3.52,-6.48,0.0746353,0.129042,0.136961
3.6,-6.4,0.0800958,0.138893,0.14742
3.68,-6.32,0.0858966,0.149424,0.158599
3.76,-6.24,0.0920498,0.160669,0.170538
3.84,-6.16,0.0985663,0.172664,0.183273
3.92,-6.08,0.105456,0.185446,0.196842
4,-6,0.112726,0.199048,0.211282
4.08,-5.92,0.120383,0.213506,0.226629
4.16,-5.84,0.128432,0.228851,0.242917
4.24,-5.76,0.136872,0.245115,0.260179
4.32,-5.68,0.145703,0.262327,0.278444
4.4,-5.6,0.15492,0.280511,0.29774
4.48,-5.52,0.164513,0.299691,0.318087
4.56,-5.44,0.17447,0.319884,0.339505
4.64,-5.36,0.184775,0.341103,0.362007
4.72,-5.28,0.195405,0.363356,0.385598
4.8,-5.2,0.206335,0.386645,0.410279
4.88,-5.12,0.217534,0.410966,0.436044
4.96,-5.04,0.228965,0.436306,0.462876
5.04,-4.96,0.240588,0.462646,0.490754
5.12,-4.88,0.252358,0.489958,0.519644
5.2,-4.8,0.264225,0.518206,0.549506
5.28,-4.72,0.276136,0.547347,0.580289
5.36,-4.64,0.288033,0.577326,0.611934
5.44,-4.56,0.299857,0.608085,0.644371
5.52,-4.48,0.311546,0.639552,0.677524
5.6,-4.4,0.323038,0.671652,0.711308
5.68,-4.32,0.334269,0.7043,0.745628
5.76,-4.24,0.345178,0.737408,0.780387
5.84,-4.16,0.355703,0.770879,0.81548
5.92,-4.08,0.365788,0.804615,0.850797
6,-4,0.375377,0.838514,0.886227
6.08,-3.92,0.384422,0.872471,0.921657
6.16,-3.84,0.392879,0.906383,0.956974
6.24,-3.76,0.400709,0.940145,0.992067
6.32,-3.68,0.40788,0.973656,1.02683
6.4,-3.6,0.414369,1.00682,1.06115
6.48,-3.52,0.420157,1.03954,1.09493
6.56,-3.44,0.425234,1.07172,1.12808
6.64,-3.36,0.429596,1.1033,1.16052
6.72,-3.28,0.433246,1.13418,1.19216
6.8,-3.2,0.436195,1.16431,1.22295
6.88,-3.12,0.438457,1.19362,1.25281
6.96,-3.04,0.440053,1.22206,1.2817
7.04,-2.96,0.441008,1.24959,1.30958
7.12,-2.88,0.441353,1.27618,1.33641
7.2,-2.8,0.441118,1.30179,1.36217
7.28,-2.72,0.440341,1.32641,1.38686
7.36,-2.64,0.439056,1.35002,1.41045
7.44,-2.56,0.437303,1.37263,1.43295
7.52,-2.48,0.435121,1.39423,1.45437
7.6,-2.4,0.432548,1.41482,1.47471
7.68,-2.32,0.429623,1.43443,1.49401
7.76,-2.24,0.426384,1.45307,1.51227
7.84,-2.16,0.422867,1.47076,1.52954
7.92,-2.08,0.419108,1.48752,1.54583
8,-2,0.415139,1.50337,1.56117
8.08,-1.92,0.410992,1.51836,1.57561
8.16,-1.84,0.406697,1.53251,1.58918
8.24,-1.76,0.402282,1.54585,1.60192
8.32,-1.68,0.397771,1.55841,1.61385
8.4,-1.6,0.393189,1.57024,1.62503
8.48,-1.52,0.388557,1.58136,1.63549
8.56,-1.44,0.383894,1.5918,1.64527
8.64,-1.36,0.379217,1.60161,1.65439
8.72,-1.28,0.374542,1.6108,1.66291
8.8,-1.2,0.369884,1.61943,1.67085
8.88,-1.12,0.365254,1.62751,1.67825
8.96,-1.04,0.360663,1.63508,1.68513
9.04,-0.96,0.35612,1.64216,1.69154
9.12,-0.88,0.351634,1.64879,1.6975
9.2,-0.8,0.347211,1.655,1.70303
9.28,-0.72,0.342858,1.6608,1.70818
9.36,-0.64,0.338578,1.66622,1.71295
9.44,-0.56,0.334376,1.67129,1.71739
9.52,-0.48,0.330255,1.67603,1.7215
9.6,-0.4,0.326217,1.68046,1.72531
9.68,-0.32,0.322264,1.6846,1.72885
9.76,-0.24,0.318397,1.68847,1.73212
9.84,-0.16,0.314617,1.69209,1.73516
9.92,-0.08,0.310924,1.69547,1.73797
10,1.63425e-13,0.307318,1.69863,1.74057
10.08,0.08,0.303798,1.70159,1.74298
10.16,0.16,0.300364,1.70435,1.74522
10.24,0.24,0.297015,1.70694,1.74728
10.32,0.32,0.293749,1.70935,1.74919
10.4,0.4,0.290565,1.71162,1.75096
10.48,0.48,0.287461,1.71373,1.75259
10.56,0.56,0.284437,1.71572,1.7541
10.64,0.64,0.281489,1.71758,1.7555
10.72,0.72,0.278617,1.71932,1.75679
10.8,0.8,0.275818,1.72095,1.75799
10.88,0.88,0.273091,1.72248,1.75909
10.96,0.96,0.270433,1.72392,1.76011
11.04,1.04,0.267843,1.72527,1.76105
11.12,1.12,0.265319,1.72654,1.76192
11.2,1.2,0.262859,1.72773,1.76273
11.28,1.28,0.260461,1.72885,1.76347
11.36,1.36,0.258123,1.7299,1.76416
11.44,1.44,0.255843,1.7309,1.7648
11.52,1.52,0.25362,1.73184,1.76538
11.6,1.6,0.251451,1.73272,1.76592
11.68,1.68,0.249335,1.73355,1.76642
11.76,1.76,0.247271,1.73434,1.76689
11.84,1.84,0.245256,1.73509,1.76731
11.92,1.92,0.243289,1.73579,1.76771
12,2,0.241368,1.73646,1.76807
12.08,2.08,0.239492,1.73709,1.76841
12.16,2.16,0.23766,1.73769,1.76872
12.24,2.24,0.235869,1.73826,1.769
12.32,2.32,0.23412,1.73881,1.76927
12.4,2.4,0.232409,1.73932,1.76951
12.48,2.48,0.230736,1.73981,1.76974
12.56,2.56,0.2291,1.74028,1.76995
12.64,2.64,0.2275,1.74073,1.77014
12.72,2.72,0.225934,1.74115,1.77032
12.8,2.8,0.224401,1.74156,1.77048
12.88,2.88,0.222901,1.74195,1.77063
12.96,2.96,0.221431,1.74232,1.77077
13.04,3.04,0.219992,1.74268,1.7709
13.12,3.12,0.218581,1.74303,1.77102
13.2,3.2,0.217199,1.74335,1.77113
13.28,3.28,0.215845,1.74367,1.77123
13.36,3.36,0.214516,1.74398,1.77133
13.44,3.44,0.213214,1.74427,1.77141
13.52,3.52,0.211936,1.74455,1.77149
13.6,3.6,0.210682,1.74483,1.77157
13.68,3.68,0.209452,1.74509,1.77164
13.76,3.76,0.208245,1.74534,1.7717
13.84,3.84,0.207059,1.74559,1.77176
13.92,3.92,0.205895,1.74583,1.77181
14,4,0.204751,1.74606,1.77186
14.08,4.08,0.203627,1.74628,1.77191
14.16,4.16,0.202523,1.7465,1.77195
14.24,4.24,0.201438,1.74671,1.77199
14.32,4.32,0.200371,1.74692,1.77202
14.4,4.4,0.199322,1.74712,1.77206
14.48,4.48,0.198291,1.74731,1.77209
14.56,4.56,0.197276,1.7475,1.77211
14.64,4.64,0.196277,1.74768,1.77214
14.72,4.72,0.195295,1.74786,1.77216
14.8,4.8,0.194328,1.74804,1.77219
14.88,4.88,0.193376,1.74821,1.77221
14.96,4.96,0.192439,1.74838,1.77223
15.04,5.04,0.191517,1.74854,1.77224
15.12,5.12,0.190608,1.7487,1.77226
15.2,5.2,0.189713,1.74886,1.77227
15.28,5.28,0.188831,1.74901,1.77229
15.36,5.36,0.187962,1.74916,1.7723
15.44,5.44,0.187105,1.74931,1.77231
15.52,5.52,0.186261,1.74945,1.77232
15.6,5.6,0.185428,1.74959,1.77233
15.68,5.68,0.184608,1.74973,1.77234
15.76,5.76,0.183798,1.74987,1.77235
15.84,5.84,0.183,1.75,1.77236
15.92,5.92,0.182213,1.75013,1.77237
16,6,0.181436,1.75026,1.77237
16.08,6.08,0.18067,1.75039,1.77238
16.16,6.16,0.179914,1.75051,1.77239
16.24,6.24,0.179167,1.75063,1.77239
16.32,6.32,0.178431,1.75075,1.7724
16.4,6.4,0.177703,1.75087,1.7724
16.48,6.48,0.176985,1.75099,1.7724
16.56,6.56,0.176276,1.7511,1.77241
16.64,6.64,0.175576,1.75122,1.77241
16.72,6.72,0.174884,1.75133,1.77241
16.8,6.8,0.174201,1.75144,1.77242
16.88,6.88,0.173527,1.75155,1.77242
16.96,6.96,0.17286,1.75165,1.77242
17.04,7.04,0.172201,1.75176,1.77243
17.12,7.12,0.17155,1.75186,1.77243
17.2,7.2,0.170907,1.75196,1.77243
17.28,7.28,0.170271,1.75206,1.77243
17.36,7.36,0.169642,1.75216,1.77243
17.44,7.44,0.169021,1.75226,1.77243
17.52,7.52,0.168406,1.75236,1.77244
17.6,7.6,0.167799,1.75245,1.77244
17.68,7.68,0.167198,1.75255,1.77244
17.76,7.76,0.166604,1.75264,1.77244
17.84,7.84,0.166016,1.75273,1.77244
17.92,7.92,0.165435,1.75282,1.77244
18,8,0.16486,1.75291,1.77244
18.08,8.08,0.164291,1.753,1.77244
