t,E_dc,I,C_l,C_r
0,-10,2.52895e-05,0,1.47385e-06
0.08,-9.92,1.96433e-06,1.3927e-06,1.5966e-06
0.16,-9.84,1.59088e-06,1.57455e-06,1.72957e-06
0.24,-9.76,1.4886e-06,1.72446e-06,1.87362e-06
0.32,-9.68,1.48385e-06,1.87919e-06,2.02967e-06
0.4,-9.6,1.51896e-06,2.04415e-06,2.19872e-06
0.48,-9.52,1.58035e-06,2.22123e-06,2.38184e-06
0.56,-9.44,1.66187e-06,2.41202e-06,2.58022e-06
0.64,-9.36,1.75784e-06,2.61736e-06,2.79512e-06
0.72,-9.28,1.87085e-06,2.83882e-06,3.02791e-06
0.8,-9.2,1.99517e-06,3.0784e-06,3.2801e-06
0.88,-9.12,2.13545e-06,3.33725e-06,3.55329e-06
0.96,-9.04,2.29245e-06,3.61739e-06,3.84923e-06
1.04,-8.96,2.46361e-06,3.9208e-06,4.16982e-06
1.12,-8.88,2.65132e-06,4.24902e-06,4.51711e-06
1.2,-8.8,2.85701e-06,4.60463e-06,4.89333e-06
1.28,-8.72,3.08089e-06,4.98955e-06,5.30088e-06
1.36,-8.64,3.32372e-06,5.40646e-06,5.74237e-06
1.44,-8.56,3.58927e-06,5.85787e-06,6.22063e-06
1.52,-8.48,3.87845e-06,6.34685e-06,6.73873e-06
1.6,-8.4,4.19057e-06,6.8766e-06,7.29998e-06
1.68,-8.32,4.53125e-06,7.45026e-06,7.90797e-06
1.76,-8.24,4.89984e-06,8.07152e-06,8.5666e-06
1.84,-8.16,5.29991e-06,8.74473e-06,9.28008e-06
1.92,-8.08,5.73351e-06,9.47383e-06,1.0053e-05
2,-8,6.20367e-06,1.02637e-05,1.08903e-05
2.08,-7.92,6.71397e-06,1.11191e-05,1.17973e-05
2.16,-7.84,7.26684e-06,1.20459e-05,1.27798e-05
2.24,-7.76,7.86536e-06,1.30498e-05,1.38442e-05
2.32,-7.68,8.51571e-06,1.41372e-05,1.49973e-05
2.4,-7.6,9.2196e-06,1.53153e-05,1.62463e-05
2.48,-7.52,9.98195e-06,1.65913e-05,1.75994e-05
2.56,-7.44,1.08084e-05,1.79737e-05,1.90652e-05
2.64,-7.36,1.1704e-05,1.94711e-05,2.06531e-05
2.72,-7.28,1.26745e-05,2.10933e-05,2.23732e-05
2.8,-7.2,1.37259e-05,2.28505e-05,2.42366e-05
2.88,-7.12,1.48646e-05,2.4754e-05,2.62551e-05
2.96,-7.04,1.60989e-05,2.68161e-05,2.84418e-05
3.04,-6.96,1.74361e-05,2.90498e-05,3.08106e-05
3.12,-6.88,1.88844e-05,3.14697e-05,3.33767e-05
3.2,-6.8,2.04538e-05,3.4091e-05,3.61564e-05
3.28,-6.72,2.21539e-05,3.69306e-05,3.91677e-05
3.36,-6.64,2.39956e-05,4.00067e-05,4.24298e-05
3.44,-6.56,2.5991e-05,4.3339e-05,4.59636e-05
3.52,-6.48,2.81528e-05,4.69488e-05,4.97917e-05
3.6,-6.4,3.04945e-05,5.08592e-05,5.39385e-05
3.68,-6.32,3.30313e-05,5.50952e-05,5.84308e-05
3.76,-6.24,3.57796e-05,5.9684e-05,6.32971e-05
3.84,-6.16,3.87566e-05,6.46551e-05,6.85687e-05
3.92,-6.08,4.19819e-05,7.004e-05,7.42794e-05
4,-6,4.54756e-05,7.58734e-05,8.04656e-05
4.08,-5.92,4.92606e-05,8.21926e-05,8.7167e-05
4.16,-5.84,5.33607e-05,8.90381e-05,9.44265e-05
4.24,-5.76,5.78023e-05,9.64536e-05,0.000102291
4.32,-5.68,6.26138e-05,0.000104487,0.00011081
4.4,-5.6,6.78261e-05,0.000113189,0.000120038
4.48,-5.52,7.34723e-05,0.000122615,0.000130035
4.56,-5.44,7.9589e-05,0.000132827,0.000140864
4.64,-5.36,8.62148e-05,0.000143889,0.000152595
4.72,-5.28,9.33925e-05,0.000155872,0.000165303
4.8,-5.2,0.000101168,0.000168853,0.00017907
4.88,-5.12,0.000109591,0.000182915,0.000193982
4.96,-5.04,0.000118715,0.000198148,0.000210136
5.04,-4.96,0.000128598,0.000214649,0.000227636
5.12,-4.88,0.000139305,0.000232524,0.000246592
5.2,-4.8,0.000150903,0.000251887,0.000267127
5.28,-4.72,0.000163467,0.000272863,0.000289372
5.36,-4.64,0.000177076,0.000295585,0.000313468
5.44,-4.56,0.000191818,0.000320198,0.000339571
5.52,-4.48,0.000207788,0.000346861,0.000367847
5.6,-4.4,0.000225087,0.000375743,0.000398477
5.68,-4.32,0.000243825,0.00040703,0.000431657
5.76,-4.24,0.000264123,0.000440922,0.000467599
5.84,-4.16,0.000286111,0.000477634,0.000506533
5.92,-4.08,0.000309927,0.000517402,0.000548708
6,-4,0.000335726,0.00056048,0.000594393
6.08,-3.92,0.000363671,0.000607144,0.00064388
6.16,-3.84,0.000393941,0.00065769,0.000697486
6.24,-3.76,0.000426729,0.000712444,0.000755552
6.32,-3.68,0.000462245,0.000771753,0.000818451
6.4,-3.6,0.000500714,0.000835997,0.000886583
6.48,-3.52,0.000542382,0.000905586,0.000960384
6.56,-3.44,0.000587514,0.000980964,0.00104032
6.64,-3.36,0.000636399,0.00106261,0.00112692
6.72,-3.28,0.000689348,0.00115105,0.00122071
6.8,-3.2,0.000746696,0.00124685,0.0013223
6.88,-3.12,0.000808811,0.00135061,0.00143234
6.96,-3.04,0.000876085,0.00146299,0.00155153
7.04,-2.96,0.000948948,0.00158472,0.00168063
7.12,-2.88,0.00102786,0.00171657,0.00182047
7.2,-2.8,0.00111333,0.00185938,0.00197192
7.28,-2.72,0.00120589,0.00201405,0.00213596
7.36,-2.64,0.00130612,0.00218157,0.00231362
7.44,-2.56,0.00141468,0.002363,0.00250604
7.52,-2.48,0.00153223,0.0025595,0.00271445
7.6,-2.4,0.00165953,0.00277231,0.00294015
7.68,-2.32,0.00179738,0.00300278,0.00318458
7.76,-2.24,0.00194665,0.00325238,0.0034493
7.84,-2.16,0.00210827,0.00352268,0.00373598
7.92,-2.08,0.00228327,0.00381539,0.00404643
8,-2,0.00247274,0.00413236,0.00438261
8.08,-1.92,0.00267787,0.00447559,0.00474665
8.16,-1.84,0.00289994,0.00484724,0.00514084
8.24,-1.76,0.00314035,0.00524966,0.00556766
8.32,-1.68,0.00340058,0.00568537,0.00602979
8.4,-1.6,0.00368226,0.00615711,0.00653015
8.48,-1.52,0.00398714,0.00666783,0.00707185
8.56,-1.44,0.0043171,0.00722073,0.0076583
8.64,-1.36,0.00467417,0.00781926,0.00829315
8.72,-1.28,0.00506056,0.00846714,0.00898037
8.8,-1.2,0.00547863,0.00916841,0.00972421
8.88,-1.12,0.00593093,0.0099274,0.0105293
8.96,-1.04,0.00642022,0.0107488,0.0114006
9.04,-0.96,0.00694945,0.0116377,0.0123435
9.12,-0.88,0.00752183,0.0125996,0.0133638
9.2,-0.8,0.00814077,0.0136402,0.0144678
9.28,-0.72,0.00880998,0.0147661,0.0156621
9.36,-0.64,0.00953341,0.015984,0.0169541
9.44,-0.56,0.0103153,0.0173013,0.0183515
9.52,-0.48,0.0111603,0.0187258,0.0198628
9.6,-0.4,0.0120733,0.0202663,0.0214971
9.68,-0.32,0.0130594,0.0219317,0.023264
9.76,-0.24,0.0141244,0.0237321,0.0251741
9.84,-0.16,0.0152743,0.0256779,0.0272385
9.92,-0.08,0.0165154,0.0277805,0.0294694
10,1.63425e-13,0.0178547,0.0300521,0.0318797
10.08,0.08,0.0192994,0.0325058,0.0344832
10.16,0.16,0.0208573,0.0351555,0.0372948
10.24,0.24,0.0225366,0.0380161,0.0403303
10.32,0.32,0.024346,0.0411037,0.0436067
10.4,0.4,0.0262949,0.0444351,0.0471419
10.48,0.48,0.0283929,0.0480285,0.0509554
10.56,0.56,0.0306504,0.0519032,0.0550675
10.64,0.64,0.0330781,0.0560796,0.0594999
10.72,0.72,0.0356873,0.0605794,0.0642758
10.8,0.8,0.0384899,0.0654256,0.0694194
10.88,0.88,0.0414981,0.0706425,0.0749567
10.96,0.96,0.0447247,0.0762554,0.0809146
11.04,1.04,0.0481827,0.0822914,0.0873217
11.12,1.12,0.0518856,0.0887785,0.0942079
11.2,1.2,0.0558472,0.0957461,0.101604
11.28,1.28,0.0600812,0.103225,0.109544
11.36,1.36,0.0646018,0.111247,0.11806
11.44,1.44,0.0694228,0.119844,0.127187
11.52,1.52,0.074558,0.129051,0.136961
11.6,1.6,0.0800206,0.138902,0.14742
11.68,1.68,0.0858235,0.149432,0.158599
11.76,1.76,0.0919787,0.160676,0.170538
11.84,1.84,0.0984971,0.172672,0.183273
11.92,1.92,0.105388,0.185453,0.196842
12,2,0.11266,0.199055,0.211282
12.08,2.08,0.120319,0.213513,0.226629
12.16,2.16,0.128369,0.228858,0.242917
12.24,2.24,0.136811,0.245122,0.260179
12.32,2.32,0.145644,0.262334,0.278444
12.4,2.4,0.154862,0.280518,0.29774
12.48,2.48,0.164456,0.299697,0.318087
12.56,2.56,0.174415,0.31989,0.339505
12.64,2.64,0.184721,0.341109,0.362007
12.72,2.72,0.195352,0.363362,0.385598
12.8,2.8,0.206284,0.386651,0.410279
12.88,2.88,0.217483,0.410972,0.436044
12.96,2.96,0.228915,0.436312,0.462876
13.04,3.04,0.24054,0.462651,0.490754
13.12,3.12,0.252311,0.489963,0.519644
13.2,3.2,0.264179,0.518212,0.549506
13.28,3.28,0.27609,0.547352,0.580289
13.36,3.36,0.287988,0.577332,0.611934
13.44,3.44,0.299813,0.60809,0.644371
13.52,3.52,0.311503,0.639557,0.677524
13.6,3.6,0.322996,0.671657,0.711308
13.68,3.68,0.334228,0.704305,0.745628
13.76,3.76,0.345137,0.737413,0.780387
13.84,3.84,0.355663,0.770884,0.81548
13.92,3.92,0.365748,0.80462,0.850797
14,4,0.375339,0.838519,0.886227
14.08,4.08,0.384384,0.872476,0.921657
14.16,4.16,0.392842,0.906387,0.956974
14.24,4.24,0.400672,0.940149,0.992067
14.32,4.32,0.407845,0.97366,1.02683
14.4,4.4,0.414334,1.00682,1.06115
14.48,4.48,0.420122,1.03954,1.09493
14.56,4.56,0.4252,1.07173,1.12808
14.64,4.64,0.429562,1.1033,1.16052
14.72,4.72,0.433213,1.13418,1.19216
14.8,4.8,0.436162,1.16431,1.22295
14.88,4.88,0.438425,1.19362,1.25281
14.96,4.96,0.440021,1.22206,1.2817
15.04,5.04,0.440977,1.2496,1.30958
15.12,5.12,0.441322,1.27618,1.33641
15.2,5.2,0.441088,1.30179,1.36217
15.28,5.28,0.440311,1.32641,1.38686
15.36,5.36,0.439027,1.35003,1.41045
15.44,5.44,0.437275,1.37263,1.43295
15.52,5.52,0.435093,1.39423,1.45437
15.6,5.6,0.43252,1.41483,1.47471
15.68,5.68,0.429596,1.43444,1.49401
15.76,5.76,0.426357,1.45307,1.51227
15.84,5.84,0.42284,1.47076,1.52954
15.92,5.92,0.419081,1.48752,1.54583
16,6,0.415112,1.50338,1.56117
16.08,6.08,0.410966,1.51837,1.57561
16.16,6.16,0.406672,1.53251,1.58918
16.24,6.24,0.402257,1.54585,1.60192
16.32,6.32,0.397747,1.55842,1.61385
16.4,6.4,0.393165,1.57024,1.62503
16.48,6.48,0.388533,1.58136,1.63549
16.56,6.56,0.38387,1.5918,1.64527
16.64,6.64,0.379193,1.60161,1.65439
16.72,6.72,0.374519,1.61081,1.66291
16.8,6.8,0.369861,1.61943,1.67085
16.88,6.88,0.365231,1.62751,1.67825
16.96,6.96,0.36064,1.63508,1.68513
17.04,7.04,0.356098,1.64216,1.69154
17.12,7.12,0.351612,1.6488,1.6975
17.2,7.2,0.34719,1.655,1.70303
17.28,7.28,0.342836,1.6608,1.70818
17.36,7.36,0.338557,1.66622,1.71295
17.44,7.44,0.334355,1.6713,1.71739
17.52,7.52,0.330234,1.67604,1.7215
17.6,7.6,0.326197,1.68047,1.72531
17.68,7.68,0.322244,1.68461,1.72885
17.76,7.76,0.318377,1.68848,1.73212
17.84,7.84,0.314598,1.69209,1.73516
17.92,7.92,0.310905,1.69548,1.73797
18,8,0.307299,1.69864,1.74057
18.08,8.08,0.303779,1.70159,1.74298
18.16,8.16,0.300345,1.70435,1.74522
18.24,8.24,0.296996,1.70694,1.74728
18.32,8.32,0.29373,1.70936,1.74919
18.4,8.4,0.290546,1.71162,1.75096
18.48,8.48,0.287443,1.71374,1.75259
18.56,8.56,0.284419,1.71572,1.7541
18.64,8.64,0.281471,1.71758,1.7555
18.72,8.72,0.278599,1.71932,1.75679
18.8,8.8,0.275801,1.72095,1.75799
18.88,8.88,0.273073,1.72248,1.75909
18.96,8.96,0.270416,1.72392,1.76011
19.04,9.04,0.267826,1.72527,1.76105
19.12,9.12,0.265303,1.72654,1.76192
19.2,9.2,0.262843,1.72773,1.76273
19.28,9.28,0.260445,1.72885,1.76347
19.36,9.36,0.258107,1.72991,1.76416
19.44,9.44,0.255827,1.7309,1.7648
19.52,9.52,0.253604,1.73184,1.76538
19.6,9.6,0.251435,1.73272,1.76592
19.68,9.68,0.24932,1.73356,1.76642
19.76,9.76,0.247255,1.73434,1.76689
19.84,9.84,0.245241,1.73509,1.76731
19.92,9.92,0.243274,1.73579,1.76771
20,10,0.241353,1.73646,1.76807
20.08,9.92,0.237756,1.73651,1.76771
20.16,9.84,0.235156,1.7364,1.76731
20.24,9.76,0.232772,1.73623,1.76689
20.32,9.68,0.230505,1.73602,1.76642
20.4,9.6,0.228316,1.73576,1.76592
20.48,9.52,0.226182,1.73545,1.76538
20.56,9.44,0.224091,1.73509,1.7648
20.64,9.36,0.222033,1.73467,1.76416
20.72,9.28,0.219999,1.73421,1.76347
20.8,9.2,0.217983,1.73368,1.76273
20.88,9.12,0.215978,1.73309,1.76192
20.96,9.04,0.213977,1.73244,1.76105
21.04,8.96,0.211977,1.73171,1.76011
21.12,8.88,0.20997,1.73091,1.75909
21.2,8.8,0.207952,1.73003,1.75799
21.28,8.72,0.205917,1.72906,1.75679
21.36,8.64,0.20386,1.728,1.7555
21.44,8.56,0.201775,1.72683,1.7541
21.52,8.48,0.199656,1.72556,1.75259
21.6,8.4,0.197497,1.72417,1.75096
21.68,8.32,0.195293,1.72266,1.74919
21.76,8.24,0.193035,1.72101,1.74728
21.84,8.16,0.190718,1.71921,1.74522
21.92,8.08,0.188335,1.71726,1.74298
22,8,0.185877,1.71514,1.74057
22.08,7.92,0.183337,1.71284,1.73797
22.16,7.84,0.180707,1.71035,1.73516
22.24,7.76,0.177977,1.70765,1.73212
22.32,7.68,0.175138,1.70472,1.72885
22.4,7.6,0.172182,1.70155,1.72531
22.48,7.52,0.169096,1.69812,1.7215
22.56,7.44,0.165872,1.69442,1.71739
22.64,7.36,0.162496,1.69042,1.71295
22.72,7.28,0.158959,1.6861,1.70818
22.8,7.2,0.155247,1.68143,1.70303
22.88,7.12,0.151348,1.6764,1.6975
22.96,7.04,0.147248,1.67099,1.69154
23.04,6.96,0.142935,1.66515,1.68513
23.12,6.88,0.138394,1.65887,1.67825
23.2,6.8,0.133611,1.65211,1.67085
23.28,6.72,0.128571,1.64485,1.66291
23.36,6.64,0.123261,1.63705,1.65439
23.44,6.56,0.117664,1.62869,1.64527
23.52,6.48,0.111768,1.61972,1.63549
23.6,6.4,0.105557,1.61011,1.62503
23.68,6.32,0.0990189,1.59983,1.61385
23.76,6.24,0.0921393,1.58884,1.60192
23.84,6.16,0.0849067,1.5771,1.58918
23.92,6.08,0.07731,1.56458,1.57561
24,6,0.06934,1.55125,1.56117
24.08,5.92,0.0609889,1.53706,1.54583
24.16,5.84,0.0522513,1.52198,1.52954
24.24,5.76,0.0431242,1.50598,1.51227
24.32,5.68,0.0336073,1.48903,1.49401
24.4,5.6,0.0237039,1.4711,1.47471
24.48,5.52,0.0134205,1.45217,1.45437
24.56,5.44,0.0027678,1.43222,1.43295
24.64,5.36,-0.0082393,1.41123,1.41045
24.72,5.28,-0.0195813,1.38918,1.38686
24.8,5.2,-0.0312339,1.36608,1.36217
24.88,5.12,-0.0431677,1.34193,1.33641
24.96,5.04,-0.0553483,1.31673,1.30958
25.04,4.96,-0.0677363,1.2905,1.2817
25.12,4.88,-0.0802871,1.26327,1.25281
25.2,4.8,-0.0929515,1.23507,1.22295
25.28,4.72,-0.105676,1.20594,1.19216
25.36,4.64,-0.118403,1.17593,1.16052
25.44,4.56,-0.131072,1.1451,1.12808
25.52,4.48,-0.143619,1.11352,1.09493
25.6,4.4,-0.155981,1.08126,1.06115
25.68,4.32,-0.16809,1.04842,1.02683
25.76,4.24,-0.179882,1.01507,0.992067
25.84,4.16,-0.191293,0.981326,0.956974
25.92,4.08,-0.202262,0.947275,0.921657
26,4,-0.21273,0.913029,0.886227
26.08,3.92,-0.222644,0.878693,0.850797
26.16,3.84,-0.231956,0.844377,0.81548
26.24,3.76,-0.240624,0.810188,0.780387
26.32,3.68,-0.248613,0.776235,0.745628
26.4,3.6,-0.255894,0.742618,0.711308
26.48,3.52,-0.262447,0.709439,0.677524
26.56,3.44,-0.26826,0.676791,0.644371
26.64,3.36,-0.273326,0.644761,0.611934
26.72,3.28,-0.277648,0.613429,0.580289
26.8,3.2,-0.281234,0.582868,0.549506
26.88,3.12,-0.284099,0.553142,0.519644
26.96,3.04,-0.286266,0.524304,0.490754
27.04,2.96,-0.287759,0.496403,0.462876
27.12,2.88,-0.288609,0.469475,0.436044
27.2,2.8,-0.288851,0.44355,0.410279
27.28,2.72,-0.288521,0.418649,0.385598
27.36,2.64,-0.287659,0.394783,0.362007
27.44,2.56,-0.286304,0.37196,0.339505
27.52,2.48,-0.284498,0.350176,0.318087
27.6,2.4,-0.282283,0.329427,0.29774
27.68,2.32,-0.279698,0.309697,0.278444
27.76,2.24,-0.276784,0.29097,0.260179
27.84,2.16,-0.273579,0.273223,0.242917
27.92,2.08,-0.270122,0.256432,0.226629
28,2,-0.266446,0.240567,0.211282
28.08,1.92,-0.262585,0.225598,0.196842
28.16,1.84,-0.258571,0.211492,0.183273
28.24,1.76,-0.254432,0.198215,0.170538
28.32,1.68,-0.250194,0.185733,0.158599
28.4,1.6,-0.245884,0.174009,0.14742
