t,E_dc,I,C_l,C_r
0,-10,0.0749156,0,0.00438261
0.08,-9.92,0.00640824,0.00433896,0.00500487
0.16,-9.84,0.00543603,0.00508844,0.00562349
0.24,-9.76,0.00496834,0.00564573,0.00614753
0.32,-9.68,0.0045236,0.0060558,0.00651995
0.4,-9.6,0.00409247,0.00632958,0.00675176
0.48,-9.52,0.00380654,0.00652862,0.00692086
0.56,-9.44,0.00379847,0.00675189,0.00714111
0.64,-9.36,0.00414768,0.00710566,0.00752742
0.72,-9.28,0.00487199,0.0076807,0.00817285
0.8,-9.2,0.00592218,0.0085363,0.00913239
0.88,-9.12,0.00715969,0.00968089,0.0104015
0.96,-9.04,0.00834064,0.0110482,0.01189
1.04,-8.96,0.00916137,0.0124875,0.0134166
1.12,-8.88,0.00939513,0.0137991,0.0147575
1.2,-8.8,0.0090497,0.0148189,0.0157471
1.28,-8.72,0.00840812,0.0155077,0.0163735
1.36,-8.64,0.00790251,0.015981,0.0167952
1.44,-8.56,0.00792965,0.0164633,0.0172773
1.52,-8.48,0.00874157,0.017212,0.0181036
1.6,-8.4,0.0104279,0.0184569,0.019514
1.68,-8.32,0.0129144,0.0203589,0.0216638
1.76,-8.24,0.0159207,0.0229667,0.024576
1.84,-8.16,0.0189132,0.0261602,0.0280785
1.92,-8.08,0.0211766,0.0296158,0.0317755
2,-8,0.0221005,0.032865,0.0351337
2.08,-7.92,0.0215685,0.0354777,0.0377057
2.16,-7.84,0.0201326,0.0372852,0.0393746
2.24,-7.76,0.0187859,0.0384878,0.0404407
2.32,-7.68,0.0185231,0.0395795,0.0415002
2.4,-7.6,0.0200266,0.0411709,0.0432358
2.48,-7.52,0.0235839,0.0438299,0.0462477
2.56,-7.44,0.0290894,0.0479752,0.0509487
2.64,-7.36,0.0359721,0.0537771,0.0574575
2.72,-7.28,0.0430832,0.0610316,0.0654587
2.8,-7.2,0.048801,0.0690657,0.0741139
2.88,-7.12,0.0516073,0.0768288,0.0822085
2.96,-7.04,0.0509709,0.0832685,0.0886213
3.04,-6.96,0.0478744,0.0878458,0.0929027
3.12,-6.88,0.0444643,0.09085,0.0955601
3.2,-6.8,0.0430916,0.0933032,0.097863
3.28,-6.72,0.0454899,0.0965801,0.101373
3.36,-6.64,0.05247,0.102013,0.107515
3.44,-6.56,0.0639034,0.110616,0.117304
3.52,-6.48,0.0786207,0.122853,0.131101
3.6,-6.4,0.0942175,0.138383,0.148331
3.68,-6.32,0.10725,0.155857,0.167282
3.76,-6.24,0.114352,0.173073,0.185376
3.84,-6.16,0.114023,0.187712,0.200093
3.92,-6.08,0.107839,0.198388,0.210183
4,-6,0.0999934,0.20539,0.216375
4.08,-5.92,0.0954686,0.210623,0.221117
4.16,-5.84,0.0981961,0.216884,0.22765
4.24,-5.76,0.110139,0.226995,0.239036
4.32,-5.68,0.131118,0.243123,0.257459
4.4,-5.6,0.158718,0.266263,0.283701
4.48,-5.52,0.188166,0.295765,0.316631
4.56,-5.44,0.212934,0.329063,0.35296
