t,E_dc,I,C_l,C_r
0,-9.995,-3.26847,-0.231116,8.11524e-05
0.08,-9.915,0.852447,0.455523,9.26542e-05
0.16,-9.835,0.653745,0.563419,0.00010399
0.24,-9.755,0.562799,0.623228,0.000113497
0.32,-9.675,0.500133,0.663366,0.000120184
0.4,-9.595,0.448519,0.690092,0.000124336
0.48,-9.515,0.40883,0.708398,0.000127451
0.56,-9.435,0.386281,0.724408,0.000131649
0.64,-9.355,0.383935,0.744309,0.000139037
0.72,-9.275,0.399597,0.772438,0.000151304
0.8,-9.195,0.426026,0.809918,0.000169424
0.88,-9.115,0.453554,0.854549,0.000193245
0.96,-9.035,0.473159,0.90181,0.000221008
1.04,-8.955,0.478613,0.946312,0.000249275
1.12,-8.875,0.467637,0.983227,0.000273882
1.2,-8.795,0.442519,1.00955,0.000291868
1.28,-8.715,0.41011,1.02512,0.000303194
1.36,-8.635,0.380514,1.03307,0.000310976
1.44,-8.555,0.364043,1.03921,0.000320225
1.52,-8.475,0.367218,1.05024,0.000336225
1.6,-8.395,0.389877,1.07137,0.000363407
1.68,-8.315,0.425249,1.10438,0.000404615
1.76,-8.235,0.462879,1.1472,0.000460188
1.84,-8.155,0.49238,1.1949,0.000526757
1.92,-8.075,0.506188,1.24128,0.000596694
2,-7.995,0.500992,1.28057,0.00065983
2.08,-7.915,0.478443,1.30878,0.000707811
2.16,-7.835,0.445284,1.32496,0.000738765
2.24,-7.755,0.412266,1.33176,0.000758804
2.32,-7.675,0.391202,1.33508,0.000779554
2.4,-7.595,0.390638,1.34234,0.000814115
2.48,-7.515,0.41218,1.35987,0.00087398
2.56,-7.435,0.449791,1.39057,0.000967134
2.64,-7.355,0.492471,1.43304,0.001096
2.72,-7.275,0.528442,1.48239,0.00125454
2.8,-7.195,0.54852,1.53192,0.00142622
2.88,-7.115,0.547968,1.57501,0.00158676
2.96,-7.035,0.527387,1.60674,0.00171362
3.04,-6.955,0.493014,1.62521,0.00179802
3.12,-6.875,0.455904,1.63246,0.00185089
3.2,-6.795,0.429151,1.63429,0.00189858
3.28,-6.715,0.423337,1.63871,0.00197319
3.36,-6.635,0.442116,1.65316,0.0021042
3.44,-6.555,0.480572,1.68181,0.00231341
3.52,-6.475,0.527462,1.72415,0.00261027
3.6,-6.395,0.56968,1.77549,0.00298513
3.68,-6.315,0.596296,1.82876,0.00340311
3.76,-6.235,0.600936,1.87651,0.00380744
3.84,-6.155,0.582928,1.91279,0.00413942
3.92,-6.075,0.547789,1.93468,0.00436816
4,-5.995,0.506661,1.94345,0.00450991
4.08,-5.915,0.473778,1.94464,0.00462275
4.16,-5.835,0.461796,1.94671,0.00478412
4.24,-5.755,0.476676,1.95824,0.00506879
4.32,-5.675,0.515026,1.98477,0.00553499
4.4,-5.595,0.565673,2.02689,0.00621353
4.48,-5.515,0.614266,2.08034,0.00709236
4.56,-5.435,0.648005,2.13774,0.00810008
4.64,-5.355,0.658658,2.19082,0.00910704
4.72,-5.275,0.644062,2.23253,0.00996514
4.8,-5.195,0.608811,2.25884,0.0105787
4.88,-5.115,0.563944,2.27009,0.0109614
4.96,-5.035,0.524683,2.27139,0.0112362
5.04,-4.955,0.505752,2.27154,0.0115866
5.12,-4.875,0.51565,2.28021,0.0121996
5.2,-4.795,0.552917,2.30443,0.0132275
5.28,-4.715,0.606816,2.34611,0.0147615
5.36,-4.635,0.661889,2.40161,0.0167976
5.44,-4.555,0.703343,2.46336,0.0191947
5.52,-4.475,0.720853,2.52229,0.0216638
5.6,-4.395,0.710542,2.5702,0.0238436
5.68,-4.315,0.675899,2.60181,0.0254618
5.76,-4.235,0.627692,2.61641,0.0264894
5.84,-4.155,0.581961,2.61856,0.0271736
5.92,-4.075,0.555424,2.61722,0.0279375
6,-3.995,0.559274,2.62307,0.0292386
6.08,-3.915,0.594361,2.64474,0.0314654
6.16,-3.835,0.650805,2.6856,0.0348705
6.24,-3.755,0.712234,2.74289,0.039495
6.32,-3.675,0.761776,2.80899,0.04507
6.4,-3.595,0.786771,2.87403,0.0509705
6.48,-3.515,0.781412,2.92858,0.056349
6.56,-3.435,0.747982,2.96607,0.0604871
6.64,-3.355,0.696884,2.98467,0.0631819
6.72,-3.275,0.644804,2.98825,0.064891
6.8,-3.195,0.610242,2.9858,0.0665489
6.88,-3.115,0.607054,2.98886,0.0692347
6.96,-3.035,0.63867,3.00759,0.0739001
7.04,-2.955,0.696483,3.047,0.0811954
7.12,-2.875,0.763482,3.10536,0.0913019
7.2,-2.795,0.820692,3.17516,0.10372
7.28,-2.715,0.852941,3.24574,0.117143
7.36,-2.635,0.852419,3.30646,0.129697
7.44,-2.555,0.820301,3.34947,0.139657
7.52,-2.475,0.766718,3.3719,0.146321
7.6,-2.395,0.708799,3.37693,0.150438
7.68,-2.315,0.666334,3.37343,0.153922
7.76,-2.235,0.655364,3.37349,0.159146
7.84,-2.155,0.681808,3.38853,0.16827
7.92,-2.075,0.738622,3.42508,0.182797
8,-1.995,0.808527,3.4825,0.203205
8.08,-1.915,0.870664,3.55348,0.228539
8.16,-1.835,0.907534,3.6267,0.256206
8.24,-1.755,0.909735,3.69049,0.282441
8.32,-1.675,0.877934,3.73611,0.30368
8.4,-1.595,0.822325,3.76005,0.318211
8.48,-1.515,0.760084,3.76508,0.327085
8.56,-1.435,0.711121,3.75966,0.333734
8.64,-1.355,0.692268,3.75584,0.34269
8.72,-1.275,0.711027,3.76544,0.358198
