t,E_dc,I,C_l,C_r
0,-10,0.0013807,0,8.04656e-05
0.08,-9.92,0.000141585,8.76839e-05,0.000102225
0.16,-9.84,0.000130958,0.000110757,0.000123697
0.24,-9.76,0.000114806,0.00012618,0.000137829
0.32,-9.68,8.68817e-05,0.000131183,0.000140203
0.4,-9.6,5.71618e-05,0.000126676,0.000132727
0.48,-9.52,3.71934e-05,0.000117865,0.000121852
0.56,-9.44,3.21813e-05,0.000110715,0.00011411
0.64,-9.36,4.2394e-05,0.000109652,0.000113963
0.72,-9.28,6.73863e-05,0.000117742,0.000124432
0.8,-9.2,0.000107386,0.000137604,0.000148178
0.88,-9.12,0.000160277,0.000171162,0.000186962
0.96,-9.04,0.000215293,0.000217194,0.000238569
1.04,-8.96,0.000250084,0.000267731,0.000292842
1.12,-8.88,0.000242209,0.000308174,0.000332839
1.2,-8.8,0.000191216,0.000325388,0.000345178
1.28,-8.72,0.000124016,0.000317929,0.000331012
1.36,-8.64,7.3207e-05,0.000296775,0.000304655
1.44,-8.56,5.63267e-05,0.000276836,0.00028285
1.52,-8.48,7.62338e-05,0.000269903,0.000277684
1.6,-8.4,0.000131844,0.000283993,0.000297066
1.68,-8.32,0.000223766,0.00032565,0.000347632
1.76,-8.24,0.000349347,0.000400265,0.000434617
1.84,-8.16,0.000488244,0.000507298,0.000555637
1.92,-8.08,0.000591082,0.000631381,0.000690548
2,-8,0.000598402,0.000739259,0.000799996
2.08,-7.92,0.00049359,0.000795482,0.000846387
2.16,-7.84,0.000330769,0.000788943,0.000823704
2.24,-7.76,0.000192614,0.000741221,0.000761914
2.32,-7.68,0.000131978,0.00068874,0.000702954
2.4,-7.6,0.000161697,0.000662739,0.000679408
2.48,-7.52,0.000279262,0.000684484,0.000712274
2.56,-7.44,0.00048533,0.000770414,0.000818119
2.64,-7.36,0.00077753,0.00093486,0.00101125
2.72,-7.28,0.001119,0.00118138,0.00129198
2.8,-7.2,0.00140402,0.001482,0.00162222
2.88,-7.12,0.0014829,0.00176339,0.00191349
2.96,-7.04,0.00128087,0.00193425,0.00206594
3.04,-6.96,0.00089576,0.00194996,0.00204373
3.12,-6.88,0.000529075,0.00184788,0.0019045
3.2,-6.8,0.000333428,0.00171435,0.00175044
3.28,-6.72,0.000357942,0.00163114,0.00166847
3.36,-6.64,0.000599198,0.00165503,0.00171501
3.44,-6.56,0.00105598,0.0018277,0.00193169
3.52,-6.48,0.00172861,0.00218594,0.00235579
3.6,-6.4,0.00255373,0.00274774,0.00299993
3.68,-6.32,0.0033121,0.00346612,0.0037964
3.76,-6.24,0.00364314,0.00418477,0.00455284
3.84,-6.16,0.00329461,0.00467799,0.00501597
3.92,-6.08,0.0024118,0.00479892,0.00505067
4,-6,0.00146432,0.00459656,0.00475267
4.08,-5.92,0.000875317,0.00426789,0.00436281
4.16,-5.84,0.000815565,0.00402328,0.00410939
4.24,-5.76,0.00129057,0.00401463,0.00414482
4.32,-5.68,0.00229037,0.00434877,0.00457507
4.4,-5.6,0.00382228,0.00511817,0.00549424
4.48,-5.52,0.00578401,0.00638327,0.00695471
