t,E_dc,I,C_l,C_r
0,-9.995,-3.26733,-0.231035,8.08689e-05
0.08,-9.915,0.842296,0.454601,8.76039e-05
0.16,-9.835,0.631023,0.554266,9.48998e-05
0.24,-9.755,0.544678,0.609136,0.000102803
0.32,-9.675,0.500389,0.651862,0.000111365
0.4,-9.595,0.47375,0.689175,0.00012064
0.48,-9.515,0.456302,0.723349,0.000130687
0.56,-9.435,0.44442,0.755497,0.00014157
0.64,-9.355,0.436229,0.786263,0.00015336
0.72,-9.275,0.430619,0.816052,0.000166132
0.8,-9.195,0.426882,0.845128,0.000179967
0.88,-9.115,0.424542,0.873667,0.000194954
0.96,-9.035,0.423265,0.901792,0.00021119
1.04,-8.955,0.422815,0.929592,0.000228777
1.12,-8.875,0.423019,0.957131,0.000247828
1.2,-8.795,0.423748,0.98446,0.000268466
1.28,-8.715,0.424905,1.01162,0.000290822
1.36,-8.635,0.426414,1.03864,0.000315039
1.44,-8.555,0.428218,1.06554,0.000341273
1.52,-8.475,0.43027,1.09235,0.000369691
1.6,-8.395,0.432533,1.11909,0.000400474
1.68,-8.315,0.434978,1.14577,0.00043382
1.76,-8.235,0.437581,1.1724,0.000469942
1.84,-8.155,0.440323,1.19901,0.000509071
1.92,-8.075,0.443187,1.22559,0.000551457
2,-7.995,0.44616,1.25216,0.000597371
2.08,-7.915,0.44923,1.27873,0.000647106
2.16,-7.835,0.452389,1.30531,0.00070098
2.24,-7.755,0.455629,1.3319,0.000759338
2.32,-7.675,0.458942,1.35851,0.000822552
2.4,-7.595,0.462324,1.38516,0.000891025
2.48,-7.515,0.465771,1.41184,0.000965196
2.56,-7.435,0.469277,1.43856,0.00104554
2.64,-7.355,0.472839,1.46532,0.00113256
2.72,-7.275,0.476455,1.49215,0.00122682
2.8,-7.195,0.480122,1.51903,0.00132892
2.88,-7.115,0.483839,1.54597,0.00143952
2.96,-7.035,0.487602,1.57298,0.0015593
3.04,-6.955,0.491412,1.60007,0.00168905
3.12,-6.875,0.495266,1.62723,0.00182958
3.2,-6.795,0.499163,1.65448,0.00198179
3.28,-6.715,0.503104,1.68181,0.00214665
3.36,-6.635,0.507086,1.70923,0.0023252
3.44,-6.555,0.511109,1.73675,0.00251859
3.52,-6.475,0.515173,1.76437,0.00272803
3.6,-6.395,0.519277,1.79209,0.00295486
3.68,-6.315,0.523421,1.81992,0.00320052
3.76,-6.235,0.527604,1.84786,0.00346656
3.84,-6.155,0.531828,1.87592,0.00375467
3.92,-6.075,0.53609,1.90409,0.00406666
4,-5.995,0.540392,1.93239,0.00440452
4.08,-5.915,0.544733,1.96081,0.00477038
4.16,-5.835,0.549113,1.98936,0.00516653
4.24,-5.755,0.553532,2.01804,0.00559548
4.32,-5.675,0.557991,2.04686,0.00605991
4.4,-5.595,0.562489,2.07581,0.00656276
4.48,-5.515,0.567025,2.10491,0.00710716
4.56,-5.435,0.571601,2.13416,0.00769652
4.64,-5.355,0.576217,2.16355,0.00833453
4.72,-5.275,0.580872,2.19309,0.00902515
4.8,-5.195,0.585566,2.22279,0.00977269
4.88,-5.115,0.590299,2.25264,0.0105818
4.96,-5.035,0.595072,2.28265,0.0114574
5.04,-4.955,0.599883,2.31283,0.012405
5.12,-4.875,0.604734,2.34317,0.0134303
5.2,-4.795,0.609624,2.37368,0.0145397
5.28,-4.715,0.614553,2.40435,0.0157399
5.36,-4.635,0.61952,2.4352,0.0170383
5.44,-4.555,0.624524,2.46623,0.0184426
5.52,-4.475,0.629567,2.49743,0.0199613
5.6,-4.395,0.634646,2.52881,0.0216035
5.68,-4.315,0.639761,2.56036,0.0233791
5.76,-4.235,0.644912,2.5921,0.0252985
5.84,-4.155,0.650097,2.62402,0.027373
5.92,-4.075,0.655316,2.65613,0.0296147
6,-3.995,0.660566,2.68842,0.0320366
6.08,-3.915,0.665846,2.72089,0.0346527
6.16,-3.835,0.671154,2.75355,0.0374778
6.24,-3.755,0.676488,2.78639,0.0405278
6.32,-3.675,0.681847,2.81941,0.0438198
6.4,-3.595,0.687226,2.85262,0.0473719
6.48,-3.515,0.692622,2.886,0.0512034
6.56,-3.435,0.698033,2.91956,0.0553349
6.64,-3.355,0.703454,2.9533,0.0597881
6.72,-3.275,0.70888,2.98721,0.0645862
6.8,-3.195,0.714307,3.02128,0.0697537
6.88,-3.115,0.719728,3.05551,0.0753164
6.96,-3.035,0.725138,3.0899,0.0813016
7.04,-2.955,0.730528,3.12443,0.0877378
7.12,-2.875,0.735892,3.15909,0.0946549
7.2,-2.795,0.74122,3.19389,0.102084
7.28,-2.715,0.746502,3.22879,0.110059
7.36,-2.635,0.751728,3.2638,0.118612
7.44,-2.555,0.756887,3.2989,0.127778
7.52,-2.475,0.761965,3.33406,0.137595
7.6,-2.395,0.766948,3.36928,0.148097
7.68,-2.315,0.771822,3.40452,0.159323
7.76,-2.235,0.776569,3.43977,0.17131
7.84,-2.155,0.781172,3.475,0.184096
7.92,-2.075,0.785611,3.51019,0.197718
8,-1.995,0.789867,3.5453,0.212214
8.08,-1.915,0.793916,3.58029,0.227619
8.16,-1.835,0.797737,3.61514,0.243967
8.24,-1.755,0.801305,3.6498,0.261291
8.32,-1.675,0.804593,3.68423,0.27962
8.4,-1.595,0.807576,3.71839,0.29898
8.48,-1.515,0.810225,3.75222,0.319394
8.56,-1.435,0.812514,3.78568,0.34088
